College Name,latitude,longitude,tot_pob
"Ambalika Institute of Management And Technology, Lucknow",26.8332112,80.9211571,1592
"Ambekeshwar Institute of Technology and Management, Lucknow",26.9909783,80.9163741,300
"Amity University, Lucknow Campus, Lucknow",26.8527566,81.0503902,300
"Ansal Technical Campus, Lucknow",26.7913125,81.0034219,300
"Dr APJ Abdul Kalam Technical University, Lucknow",26.9442409,80.9401147,300
"Aryavart Institute of Technology and Management, Lucknow",26.868266,81.01512,300
"AIET: Azad Institute of Engineering and Technology, Lucknow",26.7271716,80.8896766,525
"BBAU: Babasaheb Bhimrao Ambedkar University, Lucknow",26.7632993,80.9278659,4742
"BBDEC: Babu Banarasi Das Engineering College, Lucknow",26.887018,81.057509,300
"BBDITM: Babu Banarasi Das Institute of Technology & Management, Lucknow",26.8878956,81.0565968,300
"BBDNIIT: Babu Banarasi Das Northern India Institute of Technology, Lucknow",26.8887269,81.0590004,1840
"BBDU: Babu Banarasi Das University, Lucknow",26.8887269,81.0590004,6562
"BSSITM: Babu Sundar Singh Institute of Technology & Management, Lucknow",26.5537932,81.0466036,772
"Bansal Institute of Engineering & Technology, Lucknow",26.9423459,80.92678,2361
"Centre for Advance Studies, Lucknow",26.9433359,80.9400277,300
"Dr Shakuntala Misra National Rehabilitation University, Lucknow",26.833763,80.8368721,300
"Era University, Lucknow",26.8764896,80.8708007,2050
"GCRG College of Polytechnic, Lucknow",26.8429462,80.9492401,935
"GITM: Goel Institute of Technology and Management, Lucknow",26.8941947,81.0834714,2078
"Heeralal Yadav Institute of Technology and Management, Lucknow, Lucknow",26.7240319,80.9036636,300
"Hewett Polytechnic, Lucknow, Lucknow",26.8856562,80.9593396,676
"Himalayan Institute of Technology and Management, Lucknow, Lucknow",27.0277891,80.9374488,300
"IIIT Lucknow, Lucknow",26.7983768,81.0240627,324
"IET Lucknow, Lucknow",26.9142926,80.9419138,2597
"Integral University, Lucknow",26.9583207,80.9979765,16629
"JP Institute of Technology and Management, Lucknow, Lucknow",26.667871,80.946288,300
"Lucknow Institute of Technology, Lucknow, Lucknow",26.7297057,80.8892126,1028
"Khwaja Moinuddin Chishti Language University, Lucknow, Lucknow",26.9289085,80.896126,2478
"LMITM, Lucknow, Lucknow",26.667871,80.946288,300
"Lucknow Polytechnic, Lucknow",26.7935092,80.8920811,1143
"Maharishi University of Information Technology, Lucknow, Lucknow",26.9300873,80.9279201,787
"MG Institute of Management and Technology, Lucknow",26.6769436,80.8171386,1088
"Prasad Polytechnic, Lucknow, Lucknow",26.6712036,80.8067733,941
"Rajkiya Govind Ballabh Pant Polytechnic, Lucknow, Lucknow",26.835865,80.839651,16
"Rameshwaram Institute of Technology and Management, Lucknow, Lucknow",26.9426126,80.9318787,960
"RRIMP: RR Institute of Modern Polytechnic, Lucknow",27.0130318,80.916033,794
"RRIMT, Lucknow",27.0145682,80.9162529,1718
"Saraswati Institute of Technology and Management, Lucknow, Lucknow",26.996268,80.921108,300
"Saroj College of Engineering and Polytechnic, Lucknow, Lucknow",26.799279,81.0113685,300
"Saroj Institute of Management and Technology, Lucknow, Lucknow",26.7711945,81.0847352,722
"Saroj Institute of Technology and Management, Lucknow, Lucknow",26.7986537,81.0107974,2633
"School of Management Sciences, Lucknow, Lucknow",26.84271,80.949474,492
"Sevdie Institute of Management and Technology, Lucknow, Lucknow",26.8431396,80.9974751,573
"Shri Ramswaroop Memorial College of Engineering and Management, Lucknow",26.8912593,81.0737409,202
"SR Institute of Management and Technology, Lucknow, Lucknow",26.9833418,80.9223298,3246
"Surya College of Technical Studies, Lucknow, Lucknow",26.3579419,81.1573975,71
"Lucknow University, Lucknow",26.8635706,80.9361191,20625
